Data,A/V,Estado,Valor de Entrada,Caução
01/08/24,Aluguel,GO,,700
01/08/24,Aluguel,PR,,500
01/08/24,Aluguel,AM,,500
01/08/24,Aluguel,BA,,500
01/08/24,Aluguel,PE,,700
01/08/24,Aluguel,SC,,700
01/08/24,Aluguel,GO,,500
01/08/24,Aluguel,SC,,500
01/08/24,Aluguel,BA,,700
01/08/24,Aluguel,AM,,500
01/08/24,Aluguel,RJ,,500
01/08/24,Aluguel,PR,,500
01/08/24,Aluguel,DF,,500
01/08/24,Aluguel,MS,,700
01/08/24,Aluguel,TO,,500
01/08/24,Aluguel,PI,,500
01/08/24,Aluguel,GO,,500
01/08/24,Aluguel,CE,,500
01/08/24,Aluguel,MA,,700
01/08/24,Aluguel,AP,,500
01/08/24,Aluguel,RR,,700
01/08/24,Aluguel,MS,,500
01/08/24,Aluguel,CE,,500
01/08/24,Aluguel,SC,,500
01/08/24,Aluguel,ES,,700
01/08/24,Aluguel,PR,,500
01/08/24,Aluguel,RS,,700
01/08/24,Aluguel,PE,,700
01/08/24,Aluguel,SP,,500
01/08/24,Aluguel,SP,,500
01/08/24,Aluguel,SP,,500
01/08/24,Aluguel,AL,,700
01/08/24,Aluguel,BA,,500
01/08/24,Aluguel,AL,,500
01/08/24,Aluguel,BA,,700
01/08/24,Aluguel,PE,,500
01/08/24,Aluguel,AL,,500
01/08/24,Aluguel,PR,,700
01/08/24,Aluguel,PE,,700
01/08/24,Aluguel,PE,,500
01/08/24,Aluguel,PE,,700
01/08/24,Aluguel,SP,,700
01/08/24,Aluguel,ES,,500
01/08/24,Aluguel,MG,,700
01/08/24,Aluguel,MA,,700
01/08/24,Aluguel,PA,,500
01/08/24,Aluguel,SP,,700
01/08/24,Aluguel,DF,,700
01/08/24,Aluguel,PA,,700
01/08/24,Aluguel,CE,,500
01/08/24,Aluguel,BA,,700
02/08/24,Aluguel,RS,,700
02/08/24,Aluguel,MS,,700
02/08/24,Aluguel,CE,,500
02/08/24,Aluguel,GO,,500
