Data,A/V,Estado,Valor de Entrada,Caução
01/08/24,Venda,GO,2500,
01/08/24,Venda,SC,2500,
01/08/24,Venda,BA,2000,
01/08/24,Venda,AM,2500,
01/08/24,Venda,PE,2500,
01/08/24,Venda,SP,2000,
01/08/24,Venda,SC,2500,
01/08/24,Venda,MT,2500,
01/08/24,Venda,PA,2500,
01/08/24,Venda,AL,2000,
01/08/24,Venda,SE,2500,
01/08/24,Venda,PB,2000,
01/08/24,Venda,AM,2500,
01/08/24,Venda,RN,2500,
01/08/24,Venda,AC,2000,
01/08/24,Venda,RO,2500,
01/08/24,Venda,MT,2000,
01/08/24,Venda,PA,2500,
01/08/24,Venda,AM,2500,
01/08/24,Venda,SP,2500,
01/08/24,Venda,MG,2500,
01/08/24,Venda,BA,2000,
01/08/24,Venda,SC,2500,
01/08/24,Venda,DF,2000,
01/08/24,Venda,PA,2000,
01/08/24,Venda,DF,2500,
01/08/24,Venda,SP,2000,
01/08/24,Venda,SP,2500,
01/08/24,Venda,SP,2500,
01/08/24,Venda,SP,2500,
01/08/24,Venda,ES,2000,
01/08/24,Venda,SC,2500,
01/08/24,Venda,SC,2500,
01/08/24,Venda,MG,2000,
01/08/24,Venda,SP,2500,
01/08/24,Venda,AM,2500,
02/08/24,Venda,ES,2000,
02/08/24,Venda,MG,2500,
02/08/24,Venda,PA,2000,
02/08/24,Venda,BA,2000,
02/08/24,Venda,MT,2500,
02/08/24,Venda,AM,2500,
02/08/24,Venda,AC,2000,
02/08/24,Venda,PE,2500,
02/08/24,Venda,AM,2500,
02/08/24,Venda,SC,2500,
02/08/24,Venda,MG,2500,
02/08/24,Venda,SP,2500,
02/08/24,Venda,SP,2500,
02/08/24,Venda,AM,2500,
02/08/24,Venda,MT,2500,
02/08/24,Venda,RO,2500,
02/08/24,Venda,AL,2000,
02/08/24,Venda,SE,2500,
02/08/24,Venda,AC,2000,
02/08/24,Venda,PI,2000,
02/08/24,Venda,GO,2500,
02/08/24,Venda,SP,2000,
02/08/24,Venda,ES,2500,
02/08/24,Venda,RS,2000,
02/08/24,Venda,PI,2000,
02/08/24,Venda,GO,2500,
02/08/24,Venda,MS,2000,
02/08/24,Venda,SC,2000,
02/08/24,Venda,SC,2000,
02/08/24,Venda,SC,2000,
02/08/24,Venda,MG,2500,
02/08/24,Venda,MG,2000,
02/08/24,Venda,MG,2000,
02/08/24,Venda,SP,2500,
02/08/24,Venda,RS,2000,
02/08/24,Venda,AL,2000,
02/08/24,Venda,RS,2500,
02/08/24,Venda,MG,2000,
02/08/24,Venda,AP,2000,
02/08/24,Venda,RN,2500,
03/08/24,Venda,MG,2000,
03/08/24,Venda,BA,2500,
03/08/24,Venda,SC,2000,
03/08/24,Venda,ES,2500,
03/08/24,Venda,MT,2000,
03/08/24,Venda,SP,2000,
03/08/24,Venda,RS,2500,
03/08/24,Venda,PR,2000,
03/08/24,Venda,PE,2500,
03/08/24,Venda,GO,2000,
03/08/24,Venda,MS,2500,
03/08/24,Venda,SP,2500,
03/08/24,Venda,AL,2000,
03/08/24,Venda,DF,2500,
03/08/24,Venda,MS,2000,
03/08/24,Venda,PA,2500,
03/08/24,Venda,CE,2500,
03/08/24,Venda,SP,2000,
03/08/24,Venda,BA,2500,
03/08/24,Venda,PE,2500,
03/08/24,Venda,PE,2500,
03/08/24,Venda,PE,2500,
03/08/24,Venda,SC,2000,
03/08/24,Venda,PR,2500,
03/08/24,Venda,SP,2500,
03/08/24,Venda,RS,2000,
03/08/24,Venda,MG,2500,
03/08/24,Venda,MS,2500,
03/08/24,Venda,AM,2000,
05/08/24,Venda,MS,2000,
05/08/24,Venda,CE,2500,
05/08/24,Venda,SP,2000,
05/08/24,Venda,RS,2500,
05/08/24,Venda,PR,2000,
05/08/24,Venda,ES,2500,
05/08/24,Venda,MT,2000,
05/08/24,Venda,PA,2500,
05/08/24,Venda,CE,2000,
05/08/24,Venda,MA,2500,
05/08/24,Venda,AP,2000,
05/08/24,Venda,GO,2000,
05/08/24,Venda,MA,2000,
05/08/24,Venda,AP,2500,
05/08/24,Venda,RR,2000,
05/08/24,Venda,TO,2500,
05/08/24,Venda,PB,2000,
05/08/24,Venda,RN,2500,
05/08/24,Venda,SP,2000,
05/08/24,Venda,BA,2500,
05/08/24,Venda,SC,2000,
05/08/24,Venda,DF,2500,
05/08/24,Venda,GO,2000,
05/08/24,Venda,BA,2500,
05/08/24,Venda,MA,2000,
05/08/24,Venda,SP,2500,
05/08/24,Venda,TO,2000,
05/08/24,Venda,GO,2000,
05/08/24,Venda,BA,2500,
05/08/24,Venda,MA,3000,
05/08/24,Venda,SP,2500,
05/08/24,Venda,TO,2000,
05/08/24,Venda,CE,2000,
05/08/24,Venda,ES,2500,
05/08/24,Venda,ES,2500,
05/08/24,Venda,ES,2500,
05/08/24,Venda,RS,2000,
05/08/24,Venda,PE,2500,
05/08/24,Venda,MG,2500,
05/08/24,Venda,SP,2000,
05/08/24,Venda,SC,2500,
05/08/24,Venda,SC,2500,
05/08/24,Venda,ES,2000,
05/08/24,Venda,DF,2500,
05/08/24,Venda,AL,2000,
05/08/24,Venda,AM,2500,
06/08/24,Venda,RR,2500,
06/08/24,Venda,TO,2000,
06/08/24,Venda,DF,2500,
06/08/24,Venda,PI,2000,
06/08/24,Venda,GO,2500,
06/08/24,Venda,MS,2000,
06/08/24,Venda,CE,2500,
06/08/24,Venda,SP,2000,
06/08/24,Venda,PR,2000,
06/08/24,Venda,ES,2500,
06/08/24,Venda,GO,2000,
06/08/24,Venda,BA,2500,
06/08/24,Venda,PB,20,
06/08/24,Venda,MT,2400,
06/08/24,Venda,AM,2600,
06/08/24,Venda,AC,2500,
06/08/24,Venda,RR,2700,
06/08/24,Venda,SP,2000,
06/08/24,Venda,TO,2500,
06/08/24,Venda,GO,2000,
06/08/24,Venda,BA,2500,
06/08/24,Venda,MA,2500,
06/08/24,Venda,PB,2500,
06/08/24,Venda,MT,2000,
06/08/24,Venda,MG,2000,
06/08/24,Venda,MG,2000,
06/08/24,Venda,MG,2000,
06/08/24,Venda,PE,2500,
06/08/24,Venda,MG,2000,
06/08/24,Venda,SP,2000,
06/08/24,Venda,SC,2500,
06/08/24,Venda,MG,2000,
06/08/24,Venda,MG,2000,
06/08/24,Venda,SP,2500,
06/08/24,Venda,AP,2000,
06/08/24,Venda,RN,2500,
07/08/24,Venda,MT,2000,
07/08/24,Venda,RS,2500,
07/08/24,Venda,PA,2500,
07/08/24,Venda,RO,2000,
07/08/24,Venda,AL,2500,
07/08/24,Venda,SE,2000,
07/08/24,Venda,AM,2000,
07/08/24,Venda,AC,2500,
07/08/24,Venda,PB,2500,
07/08/24,Venda,RN,2000,
07/08/24,Venda,MS,2500,
07/08/24,Venda,PE,2000,
07/08/24,Venda,AM,2500,
07/08/24,Venda,AC,2000,
07/08/24,Venda,RR,2500,
07/08/24,Venda,DF,2000,
07/08/24,Venda,PR,2500,
07/08/24,Venda,SC,2000,
07/08/24,Venda,SP,2000,
07/08/24,Venda,TO,2500,
07/08/24,Venda,GO,2000,
07/08/24,Venda,BA,2500,
07/08/24,Venda,MA,2500,
07/08/24,Venda,RS,2500,
07/08/24,Venda,PR,2500,
07/08/24,Venda,PR,2500,
07/08/24,Venda,PR,2500,
07/08/24,Venda,SP,2000,
07/08/24,Venda,PR,2500,
07/08/24,Venda,SC,2500,
07/08/24,Venda,MG,2000,
07/08/24,Venda,SP,2500,
07/08/24,Venda,SP,2500,
07/08/24,Venda,AM,2500,
08/08/24,Venda,PB,2500,
08/08/24,Venda,MT,2000,
08/08/24,Venda,MS,2500,
08/08/24,Venda,PE,2000,
08/08/24,Venda,AM,2500,
08/08/24,Venda,SP,2000,
08/08/24,Venda,MG,2500,
08/08/24,Venda,SP,2500,
08/08/24,Venda,MG,2000,
08/08/24,Venda,SP,2500,
08/08/24,Venda,SP,2000,
08/08/24,Venda,SP,2500,
08/08/24,Venda,SP,2500,
08/08/24,Venda,SP,2500,
08/08/24,Venda,PA,2500,
08/08/24,Venda,SP,2500,
08/08/24,Venda,PA,2000,
08/08/24,Venda,PE,2000,
08/08/24,Venda,PI,2000,
08/08/24,Venda,RS,2500,
08/08/24,Venda,PR,2000,
08/08/24,Venda,MG,2500,
08/08/24,Venda,RS,2000,
08/08/24,Venda,PA,2500,
08/08/24,Venda,MG,2000,
08/08/24,Venda,RS,2000,
08/08/24,Venda,RS,2000,
08/08/24,Venda,RS,2000,
08/08/24,Venda,SC,2500,
08/08/24,Venda,RS,2000,
08/08/24,Venda,MG,2000,
08/08/24,Venda,SP,2500,
08/08/24,Venda,RS,2000,
08/08/24,Venda,RS,2500,
08/08/24,Venda,PI,2500,
09/08/24,Venda,SP,2500,
09/08/24,Venda,AM,2000,
09/08/24,Venda,MG,2500,
09/08/24,Venda,GO,2000,
09/08/24,Venda,BA,2500,
09/08/24,Venda,AM,2000,
09/08/24,Venda,SP,2000,
09/08/24,Venda,PA,2500,
09/08/24,Venda,SC,2000,
09/08/24,Venda,PA,2500,
09/08/24,Venda,GO,2000,
09/08/24,Venda,AM,2500,
09/08/24,Venda,SC,2000,
09/08/24,Venda,MG,2500,
09/08/24,Venda,MG,2500,
09/08/24,Venda,MG,2500,
09/08/24,Venda,AL,2000,
09/08/24,Venda,MG,2500,
09/08/24,Venda,SP,2500,
09/08/24,Venda,RS,2000,
09/08/24,Venda,MG,2500,
09/08/24,Venda,SP,2000,
09/08/24,Venda,DF,2500,
09/08/24,Venda,PA,2000,
09/08/24,Venda,AL,2000,
09/08/24,Venda,AM,2000,
10/08/24,Venda,CE,2500,
10/08/24,Venda,SP,2000,
10/08/24,Venda,PR,2500,
10/08/24,Venda,MT,2000,
10/08/24,Venda,PA,2500,
10/08/24,Venda,PE,2500,
10/08/24,Venda,SP,2000,
10/08/24,Venda,SC,2500,
10/08/24,Venda,MT,2500,
10/08/24,Venda,PA,2500,
10/08/24,Venda,PA,2500,
10/08/24,Venda,SP,2000,
10/08/24,Venda,SP,2000,
10/08/24,Venda,SP,2000,
10/08/24,Venda,SP,2000,
10/08/24,Venda,PR,2500,
10/08/24,Venda,SP,2000,
10/08/24,Venda,RS,2000,
10/08/24,Venda,MG,2500,
10/08/24,Venda,SP,2000,
10/08/24,Venda,RN,2500,
12/08/24,Venda,PA,2500,
12/08/24,Venda,PA,2500,
12/08/24,Venda,AM,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,CE,2500,
12/08/24,Venda,PA,2000,
12/08/24,Venda,AM,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,GO,2500,
12/08/24,Venda,SC,2000,
12/08/24,Venda,CE,2500,
12/08/24,Venda,PA,2000,
12/08/24,Venda,GO,2500,
12/08/24,Venda,SC,2000,
12/08/24,Venda,CE,2500,
12/08/24,Venda,PA,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,SP,2500,
12/08/24,Venda,PR,2000,
12/08/24,Venda,AM,2500,
12/08/24,Venda,CE,2000,
12/08/24,Venda,PA,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,BA,2500,
12/08/24,Venda,PA,2000,
12/08/24,Venda,ES,2500,
12/08/24,Venda,PE,2500,
12/08/24,Venda,AL,2500,
12/08/24,Venda,MA,2500,
12/08/24,Venda,RS,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,BA,2500,
12/08/24,Venda,CE,2000,
12/08/24,Venda,RS,2500,
12/08/24,Venda,SC,2000,
12/08/24,Venda,BA,2500,
12/08/24,Venda,AL,2000,
12/08/24,Venda,ES,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,PE,2000,
12/08/24,Venda,RJ,2500,
12/08/24,Venda,SP,2000,
12/08/24,Venda,PE,2000,
12/08/24,Venda,PE,2000,
12/08/24,Venda,PE,2000,
12/08/24,Venda,PE,2500,
12/08/24,Venda,PE,2000,
12/08/24,Venda,SP,2000,
12/08/24,Venda,SC,2500,
12/08/24,Venda,MG,2000,
12/08/24,Venda,MG,2000,
12/08/24,Venda,SP,2250,
12/08/24,Venda,MG,2500,
12/08/24,Venda,PI,2500,
12/08/24,Venda,RJ,2000,
13/08/24,Venda,CE,2500,
13/08/24,Venda,PA,2000,
13/08/24,Venda,SC,2500,
13/08/24,Venda,SP,2000,
13/08/24,Venda,PR,2500,
13/08/24,Venda,SP,2000,
13/08/24,Venda,PA,2500,
13/08/24,Venda,CE,2000,
13/08/24,Venda,PA,2500,
13/08/24,Venda,MG,2000,
13/08/24,Venda,PA,2500,
